Type,Country,Activity,Sex ,Age,Fatal (Y/N),Species 
Unprovoked,SOUTH AFRICA,Swimming / snorkeling,M,74,Y,White shark
Unprovoked,AUSTRALIA,Diving for Abalone,M,55,N,White shark
Unprovoked,USA,Surfing,M,45,N,"White shark, 8' to 10'"
Unprovoked,USA,Wading,M,12,N,Small bull shark
Unprovoked,USA,Swimming,M,21,N,Bull shark
Unprovoked,USA,Surfing,F,13,N,3' shark
Provoked,USA,Surfing,M,43,N,3' shark
Unprovoked,USA,Standing,M,25,N,3' shark
Provoked,USA,other,M,3,N,Nurse shark
Unprovoked,USA,Casting a net,M,9,N,4' shark
Unprovoked,BAHAMAS,Spearfishing,M,27,N,Blacktip shark
Unprovoked,USA,Swimming,M,27,N,Salmon shark
Provoked,FRANCE,Longline fishing for sharks,M,50,N,"Mako shark, 5'"
Unprovoked,USA,Surfing,F,27,N,White shark
Unprovoked,USA,Snorkeling,F,20,Y,Tiger shark?
Unprovoked,USA,Surfing,M,10,N,"Bull shark, 8'"
Unprovoked,SOUTH AFRICA,Attempting to free the shark,M,27,N,Blacktip shark
Unprovoked,USA,Fishing,M,17,N,"Bull shark, 6' to 8'"
Unprovoked,BAHAMAS,Spearfishing,M,40,N,6' shark
Unprovoked,USA,Surfing,M,18,N,"Tiger shark, 8' to 10' "
Unprovoked,BAHAMAS,Cleaning fish,M,64,N,Nurse shark
Boating,USA,Kayaking / Fishing,M,27,N,White shark
Unprovoked,USA,Swimming,M,27,N,"Possibly a Bull shark, 3'"
Unprovoked,USA,Swimming,M,14,N,4' to 5' shark
Unprovoked,USA,Swimming,M,28,N,"Tiger shark, 14'"
Unprovoked,USA,Boogie Boarding,F,10,N,4' to 5' shark
Provoked,USA,Fishing for sharks,M,58,N,"Lemon shark, 4'"
Unprovoked,AUSTRALIA,Surfing,M,27,N,6' shark
Unprovoked,USA,Diving,M,32,N,Galapagos shark
Unprovoked,ECUADOR,Surfing,M,29,N,Galapagos shark
Unprovoked,REUNION,Body boarding,M,36,Y,Bull shark
Unprovoked,USA,Surfing,M,16,N,a small shark
Provoked,AUSTRALIA,Fishing,M,27,N,"Wobbegong, 2m"
Unprovoked,MEXICO,Swimming,F,34,N,Tiger shark
Unprovoked,AUSTRALIA,Fishing,M,51,N,"Grey nurse shark, 3m"
Unprovoked,USA,Playing in the surf,M,9,N,3' shark
Unprovoked,SOUTH AFRICA,Free diving,M,27,N,Blue shark
Unprovoked,USA,Surfing,M,21,N,Bull shark
Unprovoked,FRENCH POLYNESIA,Kite boarding,M,53,N,Possibly a blacktip reef shark
Unprovoked,USA,Surfing,M,58,N,4' shark
